ID,Journal,Papers in 2025 (all authors),Papers with NIH funding,journal share of NIH funded papers in 2025,Cumulative number of NIH funded papers,Cumulative % NIH,Cumulative number of journals,Cumulative % of journals,ISSN,eISSN,Publisher,oa_status,apc_usd,apc_usd_originalORconverted,manual_link,comment,Publisher category
jour.1034963,PLOS Pathogens,735,258,0.351020408,17750,15.61372953,28,0.365011081,1553-7366,1553-7374,Public Library of Science (PLoS),Gold OA,3043,original,0,0,not for profit
jour.1381494,STAR Protocols,747,238,0.318607764,17988,15.82308545,29,0.378047191,2666-1667,0,Elsevier,Gold OA,1550,original,0,0,for profit
jour.1327433,PLOS Computational Biology,858,238,0.277389277,18226,16.03244137,30,0.391083301,1553-734X,1553-7358,Public Library of Science (PLoS),Gold OA,3043,original,0,0,not for profit
jour.1019114,Cell,480,236,0.491666667,18462,16.240038,31,0.404119411,0092-8674,1097-4172,Elsevier,Hybrid OA,11400,original,0,0,for profit
jour.1117239,AIDS and Behavior,389,229,0.588688946,18691,16.4414771,32,0.417155521,1090-7165,1573-3254,Springer Nature,Hybrid OA,4590,original,0,0,for profit
jour.1089762,Journal of Affective Disorders,2055,227,0.110462287,18918,16.64115691,33,0.430191631,0165-0327,1573-2517,Elsevier,Hybrid OA,3790,original,0,0,for profit
jour.1042723,Nutrients,3797,226,0.059520674,19144,16.83995707,34,0.443227741,0,2072-6643,MDPI,Gold OA,3550.136471,converted from CHF,0,0,for profit
jour.1052235,Advanced Science,4979,226,0.045390641,19370,17.03875724,35,0.456263851,0,2198-3844,Wiley,Gold OA,6730,original,0,0,for profit
jour.1398510,Viruses,1589,225,0.14159849,19595,17.23667775,36,0.469299961,0,1999-4915,MDPI,Gold OA,3182.880974,converted from CHF,0,0,for profit
jour.1048993,Frontiers in Public Health,5127,224,0.043690267,19819,17.43371862,37,0.482336071,0,2296-2565,Frontiers,Gold OA,3856.182718,converted from CHF,0,0,for profit
jour.1095465,Magnetic Resonance in Medicine,451,221,0.490022173,20040,17.62812055,38,0.495372181,0740-3194,1522-2594,Wiley,Hybrid OA,3680,original,0,0,for profit
jour.1019235,Journal of Infectious Diseases,566,221,0.390459364,20261,17.82252247,39,0.508408291,0022-1899,1537-6613,Oxford University Press (OUP),Hybrid OA,4763,original,0,0,not for profit
jour.1284467,Blood Advances,643,218,0.33903577,20479,18.01428546,40,0.521444401,2473-9529,2473-9537,American Society of Hematology,Gold OA,3800,original,https://web.archive.org/web/20250825062001/https://www.sciencedirect.com/journal/blood-advances,0,not for profit
jour.1345331,Analytical Chemistry,3052,216,0.070773263,20695,18.20428916,41,0.534480511,0003-2700,1520-6882,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
jour.1359303,microPublication Biology,438,214,0.488584475,20909,18.39253356,42,0.547516621,0,2578-9430,Caltech Library,Gold OA,350,original,https://web.archive.org/web/20250912133335/https://www.micropublication.org/about/for-authors/,0,not for profit
jour.1062267,Journal of Medicinal Chemistry,1383,211,0.152566884,21120,18.57813902,43,0.560552731,0022-2623,1520-4804,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,not for profit
jour.1023731,GeroScience,561,210,0.374331551,21330,18.76286483,44,0.573588841,2509-2715,2509-2723,Springer Nature,Hybrid OA,2890,original,0,0,for profit
jour.1084650,Drug and Alcohol Dependence,338,208,0.615384615,21538,18.94583135,45,0.586624951,0376-8716,1879-0046,Elsevier,Hybrid OA,4380,original,0,0,for profit
jour.1085025,Blood,524,208,0.396946565,21746,19.12879787,46,0.599661061,0006-4971,1528-0020,American Society of Hematology,Hybrid OA,5500,original,https://web.archive.org/web/20250718054845/https://www.sciencedirect.com/journal/blood,0,not for profit
jour.1050465,Open Forum Infectious Diseases,761,207,0.272010512,21953,19.31088475,47,0.612697171,0,2328-8957,Oxford University Press (OUP),Gold OA,4053,original,0,0,not for profit
jour.1047694,Biomolecules,1756,204,0.116173121,22157,19.49033268,48,0.625733281,2218-273X,2218-273X,MDPI,Gold OA,3305.299473,converted from CHF,0,0,for profit
jour.1086359,Investigative Ophthalmology & Visual Science,792,202,0.255050505,22359,19.66802132,49,0.638769391,0146-0404,1552-5783,Association for Research in Vision and Ophthalmology (ARVO),Gold OA,1950,original,https://web.archive.org/web/20250613113257/https://iovs.arvojournals.org/ss/forauthors.aspx#pubcosts,0,not for profit
jour.1101321,Current Biology,814,198,0.243243243,22557,19.84219138,50,0.651805501,0960-9822,1879-0445,Elsevier,Hybrid OA,7030,original,0,0,for profit
jour.1034947,International Journal of Environmental Research and Public Health,1858,198,0.1065662,22755,20.01636143,51,0.664841611,1661-7827,1660-4601,MDPI,Gold OA,3060.462475,converted from CHF,0,0,for profit
jour.1113735,Clinical Cancer Research,491,196,0.399185336,22951,20.18877219,52,0.677877721,1078-0432,1557-3265,American Association for Cancer Research (AACR),Hybrid OA,8000,original,https://web.archive.org/web/20250522200823/https://aacrjournals.org/pages/publication-fees-and-reprints#openaccessfees,"Base publication fee: $2700, Display item fee $250 per item, APC CC BY-NC-ND $7000, APC CC BY $8000",not for profit
