ID,Journal,Papers in 2025 (all authors),Papers with NIH funding,journal share of NIH funded papers in 2025,Cumulative number of NIH funded papers,Cumulative % NIH,Cumulative number of journals,Cumulative % of journals,ISSN,eISSN,Publisher,oa_status,apc_usd,apc_usd_originalORconverted,manual_link,comment,Publisher category
jour.1399917,European Heart Journal - Digital Health,132,15,0.113636364,90762,79.83849686,1538,20.04953722,0,2634-3916,Oxford University Press (OUP),Gold OA,3726.525494,converted from EUR,0,0,
jour.1007478,Mathematical Biosciences,137,15,0.109489051,90777,79.85169156,1539,20.06257333,0025-5564,1879-3134,Elsevier,Hybrid OA,2660,original,0,0,
jour.1091413,Neurochemistry International,137,15,0.109489051,90792,79.86488626,1540,20.07560944,0197-0186,1872-9754,Elsevier,Hybrid OA,4170,original,0,0,
jour.1099362,Journal of Psychopharmacology,150,15,0.1,90807,79.87808096,1541,20.08864555,0269-8811,1461-7285,SAGE Publications,Hybrid OA,4400,original,0,0,
jour.1087975,Clinical Imaging,157,15,0.095541401,90822,79.89127566,1542,20.10168166,0899-7071,1873-4499,Elsevier,Hybrid OA,3310,original,0,0,
jour.1036847,International Journal of Stroke,161,15,0.093167702,90837,79.90447036,1543,20.11471777,1747-4930,1747-4949,SAGE Publications,Hybrid OA,4400,original,0,0,
jour.1094831,Journal of Social and Personal Relationships,162,15,0.092592593,90852,79.91766507,1544,20.12775388,0265-4075,1460-3608,SAGE Publications,Hybrid OA,3650,original,0,0,
jour.1430758,Andrology,163,15,0.09202454,90867,79.93085977,1545,20.14078999,2047-2919,2047-2927,Wiley,Hybrid OA,3090,original,0,0,
jour.1021353,Pain Management Nursing,173,15,0.086705202,90882,79.94405447,1546,20.1538261,1524-9042,1532-8635,Elsevier,Hybrid OA,3350,original,0,0,
jour.1046558,CPT Pharmacometrics & Systems Pharmacology,180,15,0.083333333,90897,79.95724917,1547,20.16686221,0,2163-8306,Wiley,Gold OA,4140,original,0,0,
jour.1046955,Hospital Pediatrics,180,15,0.083333333,90912,79.97044387,1548,20.17989832,2154-1663,2154-1671,American Academy of Pediatrics (AAP),Hybrid OA,4500,,0,0,
jour.1101623,International Journal of Antimicrobial Agents,186,15,0.080645161,90927,79.98363857,1549,20.19293443,0924-8579,1872-7913,Elsevier,Hybrid OA,3280,original,0,0,
jour.1095603,Pediatric Emergency Care,195,15,0.076923077,90942,79.99683327,1550,20.20597054,0749-5161,1535-1815,Wolters Kluwer,Hybrid OA,3500,original,https://web.archive.org/web/20250602163525/https://editingservices.lww.com/open-access-hybrid,0,
jour.1092493,Research in Developmental Disabilities,198,15,0.075757576,90957,80.01002797,1551,20.21900665,0891-4222,1873-3379,Elsevier,Hybrid OA,4040,original,0,0,
jour.1098166,Computerized Medical Imaging and Graphics,202,15,0.074257426,90972,80.02322267,1552,20.23204276,0895-6111,1879-0771,Elsevier,Hybrid OA,3180,original,0,0,
jour.1454909,Device,204,15,0.073529412,90987,80.03641737,1553,20.24507887,2666-9994,2666-9986,Elsevier,Hybrid OA,9350,original,0,0,
jour.1051401,Nature Plants,209,15,0.071770335,91002,80.04961208,1554,20.25811498,2055-026X,2055-0278,Springer Nature,Hybrid OA,12690,original,0,0,
jour.1412101,European Journal of Endocrinology,217,15,0.069124424,91017,80.06280678,1555,20.27115109,0804-4643,1479-683X,Oxford University Press (OUP),Hybrid OA,4294.097034,converted from EUR,0,0,
jour.1095806,Canadian Journal of Cardiology,225,15,0.066666667,91032,80.07600148,1556,20.2841872,0828-282X,1916-7075,Elsevier,Hybrid OA,3710,original,0,0,
jour.1297499,Arthritis Research & Therapy,248,15,0.060483871,91047,80.08919618,1557,20.29722331,1478-6354,1478-6362,Springer Nature,Gold OA,3690,original,0,0,
jour.1392154,Small Science,257,15,0.058365759,91062,80.10239088,1558,20.31025942,0,2688-4046,Wiley,Gold OA,6350,original,0,0,
jour.1094713,Pediatric Dermatology,263,15,0.057034221,91077,80.11558558,1559,20.32329553,0736-8046,1525-1470,Wiley,Hybrid OA,3920,original,0,0,
jour.1038307,Retinal Cases & Brief Reports,270,15,0.055555556,91092,80.12878028,1560,20.33633164,1935-1089,1937-1578,Wolters Kluwer,Hybrid OA,1500,original,https://web.archive.org/web/20250602163525/https://editingservices.lww.com/open-access-hybrid,0,
jour.1115097,Interventional Neuroradiology,274,15,0.054744526,91107,80.14197498,1561,20.34936775,1591-0199,2385-2011,SAGE Publications,Hybrid OA,4150,original,0,0,
jour.1358114,British Journal of Radiology,276,15,0.054347826,91122,80.15516968,1562,20.36240386,0007-1285,1748-880X,Oxford University Press (OUP),Hybrid OA,3029.738876,converted from GBP,0,0,
jour.1005851,Experimental Gerontology,295,15,0.050847458,91137,80.16836438,1563,20.37543997,0531-5565,1873-6815,Elsevier,Gold OA,3400,original,0,0,
jour.1048593,Journal of Eating Disorders,296,15,0.050675676,91152,80.18155909,1564,20.38847608,0,2050-2974,Springer Nature,Gold OA,2190,original,0,0,
jour.1034742,Clinical Nutrition,305,15,0.049180328,91167,80.19475379,1565,20.40151219,0261-5614,1532-1983,Elsevier,Hybrid OA,3320,original,0,0,
jour.1077001,Tetrahedron Letters,313,15,0.047923323,91182,80.20794849,1566,20.4145483,0040-4039,1359-8562,Elsevier,Hybrid OA,3610,original,0,0,
jour.1017780,Age and Ageing,314,15,0.047770701,91197,80.22114319,1567,20.42758441,0002-0729,1468-2834,Oxford University Press (OUP),Hybrid OA,3729.011648,converted from GBP,0,0,
jour.1412769,Archives of Public Health,327,15,0.04587156,91212,80.23433789,1568,20.44062052,0778-7367,2049-3258,Springer Nature,Gold OA,2990,original,0,0,
jour.1043518,Virulence,333,15,0.045045045,91227,80.24753259,1569,20.45365663,2150-5594,2150-5608,Taylor & Francis,Gold OA,3300,,0,0,
jour.1160040,Tropical Medicine and Infectious Disease,341,15,0.04398827,91242,80.26072729,1570,20.46669274,0,2414-6366,MDPI,Gold OA,3305.299473,converted from CHF,0,0,
jour.1030201,Aging Clinical and Experimental Research,343,15,0.043731778,91257,80.27392199,1571,20.47972885,1594-0667,1720-8319,Springer Nature,Gold OA,4490,original,0,0,
jour.1358959,Matter,428,15,0.035046729,91272,80.28711669,1572,20.49276496,2590-2393,2590-2385,Elsevier,Hybrid OA,9350,original,0,0,
jour.1412088,International Journal of Cardiology,469,15,0.031982942,91287,80.30031139,1573,20.50580107,0167-5273,1874-1754,Elsevier,Hybrid OA,3970,original,0,0,
jour.1045788,Journal of Functional Biomaterials,480,15,0.03125,91302,80.3135061,1574,20.51883718,2079-4983,2079-4983,MDPI,Gold OA,3305.299473,converted from CHF,0,0,
jour.1017782,European Journal of Obstetrics & Gynecology and Reproductive Biology,599,15,0.025041736,91317,80.3267008,1575,20.53187329,0301-2115,1872-7654,Elsevier,Hybrid OA,3440,original,0,0,
jour.1011929,International Journal of Gynecology & Obstetrics,688,15,0.021802326,91332,80.3398955,1576,20.5449094,0020-7292,1879-3479,Wiley,Hybrid OA,4480,original,0,0,
jour.1099274,Annals of Medicine,947,15,0.015839493,91347,80.3530902,1577,20.55794551,0785-3890,1365-2060,Taylor & Francis,Gold OA,3300,,0,0,
jour.1046042,Insects,1287,15,0.011655012,91362,80.3662849,1578,20.57098162,2075-4450,2075-4450,MDPI,Gold OA,3182.880974,converted from CHF,0,0,
jour.1018283,Poultry Science,1487,15,0.010087424,91377,80.3794796,1579,20.58401773,0032-5791,1525-3171,Elsevier,Gold OA,2600,original,0,0,
jour.1038386,The Journal of Physical Chemistry C,2133,15,0.007032349,91392,80.3926743,1580,20.59705384,1932-7447,1932-7455,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,
jour.1017681,Journal of Agricultural and Food Chemistry,2582,15,0.00580945,91407,80.405869,1581,20.61008995,0021-8561,1520-5118,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,
jour.1045668,Frontiers in Plant Science,3054,15,0.004911591,91422,80.4190637,1582,20.62312606,0,1664-462X,Frontiers,Gold OA,3856.182718,converted from CHF,0,0,
jour.1038386,The Journal of Physical Chemistry C,2133,15,0.007032349,91437,80.43225841,1580,20.59705384,1932-7447,1932-7455,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,
jour.1017681,Journal of Agricultural and Food Chemistry,2582,15,0.00580945,91452,80.44545311,1581,20.61008995,0021-8561,1520-5118,American Chemical Society (ACS),Hybrid OA,4500,original,https://web.archive.org/web/20250529213608/https://acsopenscience.org/researchers/oa-pricing/,0,
jour.1045668,Frontiers in Plant Science,3054,15,0.004911591,91467,80.45864781,1582,20.62312606,0,1664-462X,Frontiers,Gold OA,3856.182718,converted from CHF,0,0,
jour.1446519,Immunometabolism,22,14,0.636363636,91481,80.47096286,1583,20.63616217,0,2633-0407,Wolters Kluwer,,,,0,0,
jour.1327602,Cannabis,27,14,0.518518519,91495,80.48327792,1584,20.64919828,0,2578-0026,Research Society on Marijuana,,,,0,0,
jour.1094974,Genetic Epidemiology,29,14,0.482758621,91509,80.49559297,1585,20.66223439,0741-0395,1098-2272,Wiley,Hybrid OA,4150,original,0,0,
jour.1454987,eGastroenterology,31,14,0.451612903,91523,80.50790802,1586,20.6752705,2766-0125,2976-7296,BMJ,,,,0,0,
jour.1422654,Osteoarthritis Imaging,31,14,0.451612903,91537,80.52022308,1587,20.68830661,2772-6541,0,Elsevier,Gold OA,1400,original,0,0,
jour.1472909,Biophotonics Discovery,32,14,0.4375,91551,80.53253813,1588,20.70134272,0,3005-4745,"SPIE, the international society for optics and photonics",Gold OA,0,original,https://web.archive.org/web/20250614072815/https://www.spiedigitallibrary.org/journals/open-access#list,0,
jour.1450161,Annals of the Child Neurology Society,35,14,0.4,91565,80.54485319,1589,20.71437883,0,2831-3267,Wiley,Gold OA,3000,original,0,0,
jour.1299265,Current Opinion in Physiology,35,14,0.4,91579,80.55716824,1590,20.72741494,2468-8681,2468-8673,Elsevier,Hybrid OA,3500,original,0,0,
jour.1327423,Nature Reviews Drug Discovery,36,14,0.388888889,91593,80.5694833,1591,20.74045105,1474-1776,1474-1784,Springer Nature,Closed,,no APC option,0,0,
jour.1158655,MDM Policy & Practice,38,14,0.368421053,91607,80.58179835,1592,20.75348716,0,2381-4683,SAGE Publications,,,,0,0,
jour.1007476,Journal of Health and Social Behavior,41,14,0.341463415,91621,80.5941134,1593,20.76652327,0022-1465,2150-6000,SAGE Publications,Hybrid OA,3900,original,0,0,
jour.1115586,Ethnicity and Health,43,14,0.325581395,91635,80.60642846,1594,20.77955938,1355-7858,1465-3419,Taylor & Francis,Hybrid OA,4409.333038,converted from EUR,0,0,
jour.1356019,Journal of Breast Imaging,46,14,0.304347826,91649,80.61874351,1595,20.79259549,2631-6110,2631-6129,Oxford University Press (OUP),Hybrid OA,2804,original,0,0,
jour.1443284,Mental Health Science,46,14,0.304347826,91663,80.63105857,1596,20.8056316,0,2642-3588,Wiley,Gold OA,2400,original,0,0,
jour.1032253,Current Osteoporosis Reports,47,14,0.29787234,91677,80.64337362,1597,20.81866771,1544-1873,1544-2241,Springer Nature,Hybrid OA,4790,original,0,0,
jour.1295035,Advances in Kidney Disease and Health,49,14,0.285714286,91691,80.65568868,1598,20.83170382,2949-8139,1548-5609,Elsevier,Hybrid OA,3200,original,0,0,
jour.1036071,PET Clinics,50,14,0.28,91705,80.66800373,1599,20.84473993,1556-8598,1879-9809,Elsevier,Hybrid OA,,unknown,0,0,
jour.1412142,The Science of Diabetes Self-Management and Care,53,14,0.264150943,91719,80.68031878,1600,20.85777604,2635-0106,2635-0114,SAGE Publications,,,,0,0,
jour.1043645,Oncotarget,55,14,0.254545455,91733,80.69263384,1601,20.87081215,0,1949-2553,Impact Journals,,,,0,0,
jour.1053070,"Acta Crystallographica Section D, Structural Biology",57,14,0.245614035,91747,80.70494889,1602,20.88384826,2059-7983,1399-0047,International Union of Crystallography (IUCr),,,,0,0,
jour.1099515,Journal of Neuropsychiatry,62,14,0.225806452,91761,80.71726395,1603,20.89688437,0895-0172,1545-7222,American Psychiatric Association Publishing,,,,0,0,
jour.1327778,Child Maltreatment,64,14,0.21875,91775,80.729579,1604,20.90992048,1077-5595,1552-6119,SAGE Publications,Hybrid OA,3900,original,0,0,
jour.1012008,Journal of Geriatric Psychiatry and Neurology,65,14,0.215384615,91789,80.74189406,1605,20.92295659,0891-9887,1552-5708,SAGE Publications,Hybrid OA,4150,original,0,0,
jour.1053261,mHealth,65,14,0.215384615,91803,80.75420911,1606,20.9359927,2306-9740,0,AME Publishing Company,,,,0,0,
jour.1050387,Trends in Hearing,66,14,0.212121212,91817,80.76652416,1607,20.94902881,2331-2165,1940-5588,SAGE Publications,,,,0,0,
jour.1047752,Eating Disorders,67,14,0.208955224,91831,80.77883922,1608,20.96206492,1064-0266,1532-530X,Taylor & Francis,,,,0,0,
jour.1046379,Stem Cells Translational Medicine,73,14,0.191780822,91845,80.79115427,1609,20.97510103,2157-6564,2157-6580,Oxford University Press (OUP),Gold OA,2963,original,0,0,
jour.1156319,Transgender Health,75,14,0.186666667,91859,80.80346933,1610,20.98813714,2688-4887,2380-193X,SAGE Publications,,,,0,0,
jour.1048349,Human Gene Therapy,76,14,0.184210526,91873,80.81578438,1611,21.00117325,1043-0342,1557-7422,SAGE Publications,,,,0,0,
jour.1312038,Mechanisms of Ageing and Development,76,14,0.184210526,91887,80.82809944,1612,21.01420936,0047-6374,1872-6216,Elsevier,Hybrid OA,4780,original,0,0,
jour.1114177,Journal of Alternative and Complementary Medicine,82,14,0.170731707,91901,80.84041449,1613,21.02724547,1075-5535,1557-7708,SAGE Publications,,,,0,0,
jour.1046404,Current Obesity Reports,84,14,0.166666667,91915,80.85272954,1614,21.04028158,0,2162-4968,Springer Nature,Hybrid OA,5790,original,0,0,
jour.1100031,Current Opinion in Pediatrics,88,14,0.159090909,91929,80.8650446,1615,21.05331769,1040-8703,1531-698X,Wolters Kluwer,Hybrid OA,4700,original,https://web.archive.org/web/20250602163525/https://editingservices.lww.com/open-access-hybrid,0,
jour.1097769,Journal of the American Society of Echocardiography,91,14,0.153846154,91943,80.87735965,1616,21.0663538,0894-7317,1097-6795,Elsevier,Hybrid OA,3800,original,0,0,
jour.1084523,European Urology,92,14,0.152173913,91957,80.88967471,1617,21.07938991,0302-2838,1421-993X,Elsevier,Hybrid OA,5250,original,0,0,
jour.1284550,npj Microgravity,92,14,0.152173913,91971,80.90198976,1618,21.09242602,0,2373-8065,Springer Nature,Gold OA,3690,original,0,0,
jour.1292610,GeoHealth,94,14,0.14893617,91985,80.91430482,1619,21.10546213,0,2471-1403,American Geophysical Union (AGU),,,,0,0,
jour.1038420,Brain Imaging and Behavior,101,14,0.138613861,91999,80.92661987,1620,21.11849824,1931-7557,1931-7565,Springer Nature,Hybrid OA,3790,original,0,0,
jour.1112008,Cancer Gene Therapy,120,14,0.116666667,92013,80.93893492,1621,21.13153435,0929-1903,1476-5500,Springer Nature,Hybrid OA,4990,original,0,0,
jour.1399825,Socius Sociological Research for a Dynamic World,122,14,0.114754098,92027,80.95124998,1622,21.14457046,0,2378-0231,SAGE Publications,,,,0,0,
jour.1086127,Annals of Otology Rhinology & Laryngology,131,14,0.106870229,92041,80.96356503,1623,21.15760657,0003-4894,1943-572X,SAGE Publications,Hybrid OA,4150,original,0,0,
jour.1020741,BMJ Mental Health,135,14,0.103703704,92055,80.97588009,1624,21.17064268,1362-0347,2755-9734,BMJ,,,,0,0,
jour.1045614,Journal of Parkinson’s Disease,140,14,0.1,92069,80.98819514,1625,21.18367879,1877-7171,1877-718X,SAGE Publications,,,,0,0,
jour.1051882,JMIR Mental Health,149,14,0.093959732,92083,81.0005102,1626,21.1967149,0,2368-7959,JMIR Publications,Gold OA,2750,original,https://web.archive.org/web/20250612215913/https://www.researchprotocols.org/about-journal/article-processing-fees,$1500: Research Letter,
jour.1102168,Journal of Diabetes and its Complications,151,14,0.092715232,92097,81.01282525,1627,21.20975101,1056-8727,1873-460X,Elsevier,Hybrid OA,3760,original,0,0,
jour.1077145,Journal of Experimental Child Psychology,168,14,0.083333333,92111,81.0251403,1628,21.22278712,0022-0965,1096-0457,Elsevier,Hybrid OA,3500,original,0,0,
jour.1090951,Family Relations,171,14,0.081871345,92125,81.03745536,1629,21.23582323,0197-6664,1741-3729,Wiley,Hybrid OA,3590,original,0,0,
jour.1055587,Respiratory Care,178,14,0.078651685,92139,81.04977041,1630,21.24885934,0020-1324,1943-3654,Mary Ann Liebert,,,,0,0,
jour.1367615,JAC-Antimicrobial Resistance,191,14,0.073298429,92153,81.06208547,1631,21.26189545,0,2632-1823,Oxford University Press (OUP),Gold OA,2629.584685,converted from GBP,0,0,
jour.1033224,Tobacco Induced Diseases,191,14,0.073298429,92167,81.07440052,1632,21.27493156,2070-7266,1617-9625,European Publishing,,,,0,0,
jour.1297362,Journal of Gastrointestinal Cancer,199,14,0.070351759,92181,81.08671558,1633,21.28796767,1941-6628,1941-6636,Springer Nature,Hybrid OA,4190,original,0,0,
jour.1114775,Clinical Microbiology and Infection,211,14,0.066350711,92195,81.09903063,1634,21.30100378,1198-743X,1469-0691,Elsevier,Hybrid OA,3780,original,0,0,
jour.1102620,Quality of Life Research,212,14,0.066037736,92209,81.11134568,1635,21.31403989,0962-9343,1573-2649,Springer Nature,Hybrid OA,3890,original,0,0,
jour.1284474,Nature Ecology & Evolution,219,14,0.063926941,92223,81.12366074,1636,21.327076,0,2397-334X,Springer Nature,Hybrid OA,12690,original,0,0,
jour.1103922,BJU International,220,14,0.063636364,92237,81.13597579,1637,21.34011211,1464-4096,1464-410X,Wiley,Hybrid OA,4770,original,0,0,
jour.1391909,The Lancet Regional Health - Western Pacific,223,14,0.062780269,92251,81.14829085,1638,21.35314822,2666-6065,0,Elsevier,Gold OA,4250,original,0,0,
jour.1017081,Heart,229,14,0.061135371,92265,81.1606059,1639,21.36618433,1355-6037,1468-201X,BMJ,,,,0,0,
jour.1002377,Journal of Personality and Social Psychology,230,14,0.060869565,92279,81.17292095,1640,21.37922044,0022-3514,1939-1315,American Psychological Association (APA),Hybrid OA,3000,original,https://web.archive.org/web/20250611191216/https://www.apa.org/pubs/journals/resources/open-access?tab=2,"all APA journals submit accepted manuscript to Pubmed for NIH-funded authors at time of publication, see https://www.apa.org/pubs/journals/resources/open-access?tab=1",
jour.1050400,Genes & Diseases,231,14,0.060606061,92293,81.18523601,1641,21.39225655,2352-3042,0,Elsevier,Gold OA,2500,original,0,0,
jour.1025028,Environmental Science Processes & Impacts,269,14,0.05204461,92307,81.19755106,1642,21.40529266,2050-7887,2050-7895,Royal Society of Chemistry (RSC),Hybrid OA,4035,converted from GBP,https://web.archive.org/web/20250623094134/https://www.rsc.org/publishing/open-access/payments-and-funding,0,
jour.1450622,JCEM Case Reports,281,14,0.049822064,92321,81.20986612,1643,21.41832877,0,2755-1520,Oxford University Press (OUP),Gold OA,930,original,0,0,
jour.1022710,The Journal of Headache and Pain,302,14,0.046357616,92335,81.22218117,1644,21.43136488,1129-2369,1129-2377,Springer Nature,Gold OA,3990,original,0,0,
jour.1005997,Ultrasonics,303,14,0.04620462,92349,81.23449623,1645,21.44440099,0041-624X,1874-9968,Elsevier,Hybrid OA,3680,original,0,0,
jour.1094057,Journal of Cardiovascular Electrophysiology,308,14,0.045454545,92363,81.24681128,1646,21.4574371,1045-3873,1540-8167,Wiley,Hybrid OA,4500,original,0,0,
jour.1106235,Virchows Archiv,317,14,0.044164038,92377,81.25912633,1647,21.47047321,0945-6317,1432-2307,Springer Nature,Hybrid OA,4790,original,0,0,
jour.1153391,Journal of Imaging,461,14,0.030368764,92391,81.27144139,1648,21.48350932,0,2313-433X,MDPI,Gold OA,2203.532982,converted from CHF,0,0,
jour.1023370,"Journal of Health, Population and Nutrition",464,14,0.030172414,92405,81.28375644,1649,21.49654543,1606-0997,2072-1315,Springer Nature,Gold OA,2790,original,0,0,
jour.1033643,Marine Drugs,480,14,0.029166667,92419,81.2960715,1650,21.50958154,1660-3397,1660-3397,MDPI,Gold OA,3550.136471,converted from CHF,0,0,
jour.1085595,Journal of Advanced Nursing,762,14,0.018372703,92433,81.30838655,1651,21.52261765,0309-2402,1365-2648,Wiley,Hybrid OA,5450,original,0,0,
jour.1041640,Algorithms,819,14,0.017094017,92447,81.32070161,1652,21.53565376,0,1999-4893,MDPI,Gold OA,1958.695984,converted from CHF,0,0,
jour.1013761,Pattern Recognition,891,14,0.015712682,92461,81.33301666,1653,21.54868987,0031-3203,1873-5142,Elsevier,Hybrid OA,2590,original,0,0,
jour.1046372,Quantitative Imaging in Medicine and Surgery,933,14,0.015005359,92475,81.34533171,1654,21.56172598,2223-4292,2223-4306,AME Publishing Company,,,,0,0,
jour.1028434,BMC Oral Health,2174,14,0.006439742,92489,81.35764677,1655,21.57476209,0,1472-6831,Springer Nature,Gold OA,3190,original,0,0,
jour.1371496,Medicina,2255,14,0.006208426,92503,81.36996182,1656,21.5877982,1010-660X,1648-9144,MDPI,Gold OA,2693.206978,converted from CHF,0,0,
jour.1128045,Expert Systems with Applications,3266,14,0.004286589,92517,81.38227688,1657,21.60083431,0957-4174,1873-6793,Elsevier,Hybrid OA,3500,original,0,0,
jour.1050384,Animals,3652,14,0.003833516,92531,81.39459193,1658,21.61387042,0,2076-2615,MDPI,Gold OA,2938.043976,converted from CHF,0,0,
jour.1319923,Physics of Fluids,6133,14,0.002282733,92545,81.40690699,1659,21.62690653,1070-6631,1089-7666,AIP Publishing,Hybrid OA,3800,original,https://web.archive.org/web/20250619212429/https://publishing.aip.org/resources/researchers/open-science/open-access/,0,
jour.1492155,Equity Neuroscience,15,13,0.866666667,92558,81.41834239,1660,21.63994264,3050-8401,0,Elsevier,Gold OA,1200,original,0,0,
jour.1381443,JVS Vascular Science,20,13,0.65,92571,81.4297778,1661,21.65297875,2666-3503,0,Elsevier,Gold OA,2800,original,0,0,
jour.1450188,Proteoglycan Research,24,13,0.541666667,92584,81.44121321,1662,21.66601486,0,2832-3556,Wiley,Gold OA,2750,original,0,0,
jour.1455069,npj Biological Physics and Mechanics,26,13,0.5,92597,81.45264862,1663,21.67905097,0,3004-863X,Springer Nature,Gold OA,2490,original,0,0,
jour.1094188,Annual Review of Immunology,28,13,0.464285714,92610,81.46408402,1664,21.69208708,0732-0582,1545-3278,Annual Reviews,Subscribe to Open (S2O),0,,0,0,
jour.1052008,Annual Review of Vision Science,28,13,0.464285714,92623,81.47551943,1665,21.70512319,2374-4642,2374-4650,Annual Reviews,Subscribe to Open (S2O),0,,0,0,
jour.1472899,The American Journal of Geriatric Psychiatry Open Science Education and Practice,28,13,0.464285714,92636,81.48695484,1666,21.7181593,2950-3868,0,Elsevier,Gold OA,2700,original,0,0,
jour.1042079,Substance Use Research and Treatment,32,13,0.40625,92649,81.49839025,1667,21.73119541,2976-8357,1178-2218,SAGE Publications,,,,0,0,
jour.1017060,Annual Review of Physiology,40,13,0.325,92662,81.50982565,1668,21.74423152,0066-4278,1545-1585,Annual Reviews,Subscribe to Open (S2O),0,,0,0,
jour.1099488,Inhalation Toxicology,41,13,0.317073171,92675,81.52126106,1669,21.75726763,0895-8378,1091-7691,Taylor & Francis,Hybrid OA,4024.664661,converted from EUR,0,0,
jour.1455051,npj Biological Timing and Sleep,41,13,0.317073171,92688,81.53269647,1670,21.77030374,0,2948-281X,Springer Nature,Gold OA,2590,original,0,0,
jour.1039950,Biomolecular NMR Assignments,43,13,0.302325581,92701,81.54413188,1671,21.78333985,1874-2718,1874-270X,Springer Nature,Hybrid OA,3890,original,0,0,
jour.1381425,F&S Science,47,13,0.276595745,92714,81.55556728,1672,21.79637596,2666-335X,0,Elsevier,Hybrid OA,3500,original,0,0,
jour.1115743,Cell Stress and Chaperones,49,13,0.265306122,92727,81.56700269,1673,21.80941207,1355-8145,1466-1268,Elsevier,Gold OA,2850,original,0,0,
jour.1157825,Evidence-Based Practice in Child and Adolescent Mental Health,49,13,0.265306122,92740,81.5784381,1674,21.82244818,2379-4925,2379-4933,Taylor & Francis,,,,0,0,
jour.1088744,Oncology Nursing Forum,49,13,0.265306122,92753,81.58987351,1675,21.83548429,0190-535X,1538-0688,Oncology Nursing Society (ONS),,,,0,0,
jour.1016548,Administration and Policy in Mental Health and Mental Health Services Research,53,13,0.245283019,92766,81.60130891,1676,21.8485204,0894-587X,1573-3289,Springer Nature,Hybrid OA,3790,original,0,0,
jour.1107753,Cell Research,53,13,0.245283019,92779,81.61274432,1677,21.86155651,1001-0602,1748-7838,Springer Nature,Hybrid OA,5190,original,0,0,
jour.1101258,Clinical Autonomic Research,56,13,0.232142857,92792,81.62417973,1678,21.87459262,0959-9851,1619-1560,Springer Nature,Hybrid OA,4790,original,0,0,
jour.1099607,Diabetes Spectrum,56,13,0.232142857,92805,81.63561514,1679,21.88762873,1040-9165,1944-7353,American Diabetes Association,Hybrid OA,,,https://web.archive.org/web/20250729122935/https://diabetesjournals.org/spectrum/pages/instructions-for-authors,"For articles submitted on or after February 1, 2024, article processing charges will be assessed at $175 per typeset journal page.
In addition, Diabetes Spectrum offers an “Open Choice” option for authors who wish to make their published article immediately accessible to nonsubscribers. By paying an additional article-processing charge of $250 per page, authors may elect to have their articles freely available on the journal's website immediately upon publication online. ",
jour.1016443,Basic Research in Cardiology,57,13,0.228070175,92818,81.64705054,1680,21.90066484,0300-8428,1435-1803,Springer Nature,Hybrid OA,4990,original,0,0,
jour.1112101,Journal of Computational Biology,64,13,0.203125,92831,81.65848595,1681,21.91370095,1066-5277,1557-8666,SAGE Publications,,,,0,0,
jour.1377388,The Lancet Rheumatology,66,13,0.196969697,92844,81.66992136,1682,21.92673706,2665-9913,0,Elsevier,Hybrid OA,7280,original,0,0,
jour.1048152,The Journal of Frailty & Aging,67,13,0.194029851,92857,81.68135677,1683,21.93977317,2260-1341,2273-4309,Elsevier,Gold OA,2850,original,0,0,
jour.1050825,The Lancet Haematology,70,13,0.185714286,92870,81.69279217,1684,21.95280928,2352-3026,2451-9960,Elsevier,Hybrid OA,7280,original,0,0,
jour.1085982,Human Genetics,73,13,0.178082192,92883,81.70422758,1685,21.96584539,0340-6717,1432-1203,Springer Nature,Hybrid OA,3690,original,0,0,
jour.1013320,Optometry and Vision Science,73,13,0.178082192,92896,81.71566299,1686,21.9788815,1040-5488,1538-9235,Wiley,Hybrid OA,3900,,0,"ceased publishing with Wiley in 2016, now with Lippincott/Wolters Kluwer, Hybrid 4,100 USD APC",
jour.1021172,Current Psychiatry Reports,74,13,0.175675676,92909,81.7270984,1687,21.99191761,1523-3812,1535-1645,Springer Nature,Hybrid OA,4990,original,0,0,
jour.1426915,Obesity Pillars,74,13,0.175675676,92922,81.7385338,1688,22.00495372,2667-3681,0,Elsevier,Gold OA,2400,original,0,0,
jour.1006823,Neonatology,78,13,0.166666667,92935,81.74996921,1689,22.01798983,1661-7800,1661-7819,Karger Publishers,,,,0,0,
jour.1005861,Respiratory Physiology & Neurobiology,80,13,0.1625,92948,81.76140462,1690,22.03102594,1569-9048,1878-1519,Elsevier,Hybrid OA,3450,original,0,0,
jour.1100534,Journal of Structural Biology,83,13,0.156626506,92961,81.77284003,1691,22.04406205,1047-8477,1095-8657,Elsevier,Hybrid OA,4350,original,0,0,
jour.1485769,JCO Oncology Advances,84,13,0.154761905,92974,81.78427543,1692,22.05709816,2994-9750,0,American Society of Clinical Oncology (ASCO),,,,0,0,
jour.1019225,Biometrika,86,13,0.151162791,92987,81.79571084,1693,22.07013427,0006-3444,1464-3510,Oxford University Press (OUP),Hybrid OA,3621.328959,converted from GBP,0,0,
